label,text,title
Slower version of traditional songs.,"Bought this for my parents. I thought they would like it but I was told the traditional songs were sung in typical E.A. style, slowww.",
Indicators,"Good product - easy to use nd not a problem to cast - they float great and are very sensitive - if you miss a take it is on you! very visible in all lighting - just wish they sent more ""toothpicks"" as I re-use my indicators over and over",
"Fun, dynamic explosive",this band rocked. This album will always bring me back to Summer 2003.RIP Exploding Hearts,
excellent item,This is much safer than putting the GPS on the windshield. It leaves no ring on the windshield and never falls off.,
This game stinks,"I recently played this game at a Game Show in Japan. I did not find this game fun at all!! The game has many ""old school"" games that you do not want to try after about 2 minutes of play!! I recommend that you wait to get another good game coming out or wait this fall and get xbox...",
Waste of time!,"A suspense thriller that reminded of my pre-teen days when I read Nancy Drew! This book managed to keep me reading and wondering what would happen next (got a little boring towards the end). There are some aspects of it which made me think it may be true and kept me going back to the web for research. The know-all, do-all Sophie and the her partner Robert Langdon are our to find the Holy Grail. The book starts off well with some aspects of history that may surprise you, if you have not already watched it on the television. But in the end, its just way too predictable.",
NOT Digitally remastered!,"I had the original performance on tape so I was really excited to see this ""digitally remastered"" on CD (with bonus tracks to boot). I know the songs very well--which characters sang and at what time. WHAT A DISAPPOINTMENT!On ""It's the Hard-Knock Life"" you can't even hear some of the orphans in the background. The same is true for ""NYC"", ""We'd Like to Thank You Herbert Hoover"" and ""You're Never Fully Dressed Without a Smile"" just to name a few (you can't even hear the men singing, just mumbling).Not the best rendition out there.",
sorry,"I like movies about mentally challenged people. I Am Sam is one of my faves. This movie however isn't even worth a rental. It is unrealistic , boring , and it just dragged on. The humor is outdated and i didn't have any emotions for these charectors other than Diane Keaton who had a superb performance.",
FATAL ATTRACTION GOES DOWN IN MOVIE HISTORY AS ONE OF THE BEST THRILLERS TO EVER COME OUT!!!!!!!,"Fatal Attraction is a great thriller and it has a amazing cast which includes Glen Close as the pychic girlfriend!!!!!! Michael Douglas is truly amazing and will be a legendary actor in whatever he does!!!!!!! This movie is the best date movie and it was a huge hit in the 80's!!!!!! Michael is married,but one day meets Glen Close and when he decides to call off his fling!!!!! Glen wasn't going for that at all!!!!!! This movie is one of the best thrillers to ever come out and i do recommend seeing this movie,because its edgy, scary, and has its moments in movie history that you can see over and over again!!!!!",
Awesome Book of CelebrityTombstones and Stories,"What can I say? This book is the best around and extremely addicting. I couldn't put it down. Of all the books on this genre that I've read, no book does it as well as Morbid Curiosity. The photos were great, the directions -superb, the stories -all very factual and as far as the trivia goes, Ms. McCarthy could write for the game ""Trivial Pursuit!"" This is the most essential book for anyone's collection, that is as long as you are interested in celebrities and what has happened to them. Very tastefully done, I might add.",
Incredible,"I don't usually write reviews, but I simply thought this book was stunning. I found the eventual diagnosis of the relationship between the computer and Gray to be haunting. After finishing the book, I was compelled to flip back and re-read entire sections to see how they all elegently fit together...the statue, the Other, and each of the VR machine scenes. Do yourself a favor and read this book.",
Additional Info...,I called Olympus and confirmed that this will work with their 18-180mm lens. I bought it and tried the two together and it is working great!! First photo took a while for everything to communicate with each other and since then it works like just having the 18-180mm lens alone on. And it's wonderful having that extra bit of zoom...,
american dad,the first few episodes were the same as the last volume. but the rest of the series was your typical american dad.,
Absolutely Fantastic!,"When I got this book, I could not put it down. It is one of the funniest, wittiest, and important books I have ever read. I don't want to date anyone who hasn't read this book. It is full of great, real, usable information, yet given with a tongue in cheek wit that makes it impossible to not laugh hysterically while reading. I would recommend it to every guy age 15-30. Fantastic!",
Classic Lazarus Long,"Explains a lot I hadn't entirely understood about the Lazarus Long stories. If you enjoyed Time Enough for Love, this one will work for you as well.",
Best option for the price.,For a long time I have been wanting to switch my cabling to CAT 6 and in retail stores they start at 19.99. with this company this cable is the exact same for almost 80% less than a retail store. Plus its the same quality cable.,
have not received,"Typically, I am the biggest Amazon fan out there. I have not, however, received any notice of my subscription other than the charge for it.I did not use the gift option to order this for my husband, which was my mistake. When I contacted the designated customer service to explain that I wanted the recipient's name changed(not the address)as well as some notice that the magazines would be coming, I received no response.I assume that we will start to receive after the stated ""6-9 weeks delivery"" but the lack of response is disappointing.",
"VIN DIESEL MAKES ""THE FAST AND THE FURIOUS"" #1","GREAT MOVIE. I'VE ONLY SEEN IT ""SEVEN TIMES."" GOOD MOVIE ALL AROUND--BUT VIN DIESEL MAKES THE MOVIE. VERY GOOD ACTOR. ALL THE ACTORS IN ""THE FAST AND THE FURIOUS"" DID A REALLY GOOD JOB. I WOULD HIGHLY RECOMMEND IT TO EVERYONE.",
Screwpull broke after 3 bottles opened.,"Unfortunately, our new Screwpull broke after only 3 bottles were opened, unlike our original Screwpull that lasted for 12 years. It also appeared to be of flimsier construction than our original one. I mistakenly assumed that the company we bought it from (Winestuff) would handle the issue but all they did was refer us to the maker of the Screwpull in the United States. We were told to send it back to them and they would either repair or replace it. I sent it back to the maker over 3 weeks ago and am still awaiting either a repaired one or hopefully a new one. Note: The same day I wrote this review a brand new Screwpull in an unopened box arrived. Le Creuset does a good job of following up on the customer service end.",
"So, nu?",The cover photo accurately illustrates the mood of the text; you *are* going to strain a bit to read through the ample examples of kvetching. Yiddish instructors should add this book to their suggested reading list so that students can learn some history and specific idioms for particular European communities. This book would be excellent for advanced students of Yiddish.,
Great Iron,I never thought an upscale iron could cut ironing time but this Black & Decker really does. The iron glides effortlessly over fabrics and busts wrinkles immediately.It has an easily viewed water level for steam and the steam output is great. Warm up time is quick and the digital display screen is easy to see and cuts down on scorching since you can also read the fabric type. I am very happy with this choice.,
This CD is HOT!,"I would give it more than five stars if I could. I was hooked from the first track and it just got better. My favorites are tracks 1,2,3, and 6. This cd had me all over the net looking for more from the artists, especially Balla Tounkara (#6), Chico Alvarez, and Alfredo Valdés.",
realllllllllly good bread with one small flaw,"this breadmaker is beautiful and makes bread so yummy that i can't keep up with the demand! the only problem i have found is that when i make a 2 lb. loaf and use the bread flour, it actually makes the loaf so big that it smashes into the lid and the very top doesn't get baked all the way through. if i use all purpose flour that doesn't happen. i'm going to try making a 1 1/2 lb. loaf today. the recipe book is wonderful. i tried the delayed timer the other night and had bread ready right after i dropped my daughter off at school the next morning. how fun!",
All that was bad about Daughter of the Forest,"A second star only because it is about vikings. This is a moronically simple tale full of ludicrous characters and plot-lines, told in a clumsy, heavy-handed style. The main character is dumb, beautiful, and ever-conscious of the rights of women, and he also happens to be a berserker. As was the case with Daughter of the Forest, the author seems to think it's important to let us know how well-endowed her male characters are, i.e., ""I see why they call you 'the little ox' ! "".",
will make you sob uncontrollably,"I've never seen a movie that gets at your core and gets under your skin like this film. I'm attracted and repulsed by this film at the same time in that it is such a good film but also actually emotionally painful to watch. I've seen this film 3 times and each time I sob uncontrollably at the end. I recommend this film to people but also caution them because it is so powerful that it transcends the surface entertainment that most films are made for. I know it is just a movie but there is something deeper in this film that transforms in into a very believable temporary reality that lingers on after you've seen the film. Perhaps it is also due to Bjork's acting which in some cases, she wasn't acting, but actually being Selma. She did say that it was emotionally draining making the film. I don't usually waste my time writing reviews for movies, but after seeing this film, you have to get it out of you. I'm just trying to shake it off.",
A movie for every person.,An unusual story portrayed by talented actors. A happy ending for those who deserved. The scenery was great also. Perhaps the best part of the movie was the photography.,
Indispensible Resource,"I purchased this book over 22 years ago and loved it then! I lost my copy during a move and now am looking to repurchase it. Without a doubt, it was one of the most valuable books in my collection for designing custom homes! As an architectural designer, I highly recommend this book to any design professional or student!",
A thoughtful novel,"Under Western Eyes is not a light novel but a deep, refelctive study of the Russian intellect and society. This book permitted me to understand what we westerner's often cast of as the ""Russian personnality"" and the complexity of the historical, social and psychological climate of Russia and the Russians shortly before the Bolshevik revolution. This novel does not ressemble any ohter of Conrad's as it has a strange feeling or atmosphere to it that can barely be grasped. I read it when I was young and I was deeply affected by the people he describes and the locations. A must for anyone interested or related to the Russian nation!",
good,"I received the product, very good product and arrive the placed date, I recommend it, very responsible people in its business, good luck. he is of very good benefits atte to wilker Hernandez",
Cool pictures and funny!,I like this game alot. I am twelve and it is one of my favrite platform games. I like to see the funny juju's and i am at the final battle with tlaloc. I like this game because you get to ride animals and climb things. This is the funniest game i have seen out there. I wish they had a map sometimes but they do have flags to follow and show you where you are. Nickelodeon did a great job and cant wait for the cartoon.,
19th Century Edition of a Swinger Party??,"This was just a little too much for me....too many characters and too much sharing with barely a care. The many characters diluted the story. It could have been much better had this been a couple of books. The ending was so convoluted as well. There were so many characters to follow....and do you really hardly care if your best friend sleeps with your fiance, even if you are with someone else? No best friend does that. Or encourage your friend to coax your husband to his bed for you?? It was just weird. Also, you really don't get to feel the development of the characters and their emotions when you are following so many at once. The writing wasn't bad, the story was. Normally I think Eloisa James' books are much better than the reviews on here, but not so with this one. I believe I remember reading at least one other in this series and really liking it, so I don't think this was necessary to set the basis for the others.",
Failed to meet my low expectations,"I didn't have many expectations for a cheap sweatband, but this looks like it will last about a month. Boo.",
Totally Disenchanted and Disappointed,"I only read true crime stories; I am still in the process of reading this book and have to force myself NOT to put it somewhere and go on to another one. I feel that the author did not tell the story as in the fashion of other good authors. There are incomplete sentences that make one have to reread the sentence to get the jist of that emotion. I, for one, feel that this book is not anywhere near or close to the other crime stories that I read. I would have to read another book by Miss Chew before giving a true explanation of her work. I have read the other reviews which tend to say the opposite of what I say but people are different. I would NOT recommend this book to anyone that I know.",
find little darlings on dvd found it,"I found this movie at darkmoonvideohouse2.com Surprisingly its a very good dvd quality movie, not one of those VHS copy's. State on the website that its a DVDr, I took a chance and its an excellent presentation, crystal clear.",
Worth It!,"Looking forward to making the most out of this book & eating raw, healthy food. This book makes it easy to make food that is healthy for you & easy to prepare - all without having to buy a ton of items to make these recipes work.",
One of my least favorite King stories...,"As an avid King reader, I read them ALL, the reviews be damned! However, I am in a position to read/listen to all I want. Therfore, if you want to save yourself a few bucks, you can skip this one all together. Maybe I just don't get it but the story seems fractured and put together with scotch tape. I didn't find it scary or even interesting. But hey...someone thought enough to make it into a TV movie, so...maybe somewhere, someone is saying to me, ""How can you be so obtuse?""",
A Favorite gets the right treatment on DVD,"Why some DVD's have more material (""Fight Club"") than others (""Traffic"", for instance) is a mystery I'm sure plagues a lot of us who own DVDs. So upon reading what's in this DVD, I was a little shocked. A movie that bombed when it was released gets this kind of treatment? Well, considering it's one of my favorite films to watch, the answer is ""yes"". The picture and audio were good (bearing in mind the 80's weren't good at preserving film like today), and the commentary with Carpenter and Russell was fun (a good third of it isn't even about the movie!). For those of you who love this movie, this IS the Pork-Chop Express!",
"Oh, Yeah.","Well at first i had it in my house on a 200 watt stereo. shook every picture off the wall throughout the whole house. self made sealed box. hits harder than my 2 12 pioneers easy. now in my car one 12 plsq12d against 800 watt Xplod amp. its game over, sir. my poor trunk takes a beating.",
"Please Mary, get some drama back in ya life!","Now don't get me wrong by just reading the title of my review. I am a fan of Mary, own all her albums and still listen to them on a regular basis. I am happy that Mary has finally found some peace in her life and has decided to let everyone know. But, dang!, I am or should say was sorely disappointed by this CD. I have only listened to it about 5 times and everytime I've listened to it, I get mad that I spent good money on it. Now, dont call me a hater or say that I'm not a fan, because I am, but the truth is, Mary was in her prime earlier in her career when she was having major drama. Its my belief that pain makes excellet music material, and so does happiness for that matter, but Mary is at her best when she's been down and out. I would suggest passing up on this disc, burning it from somebody or buying it used.",
One of the finest band of south america,"It's a shame that this pice of art is not available in Amazon. This album just unifies the whole spirit of the Andine culture by doing a fusion of progressive rock, folk and altiplanic music.I cannot put it in words...just have to listen it, is like trying to discribe a flavor with words...it is not a simply task, and if I could I would be always underestimating the richness of this band.",
"quality is ""made for tv""","it is an attempt to discuss science vs religion; which is a topic that should bode great movie material. but ...this movie is not realistic, storyline not believable, plot is thin. especially stupid is a script that repeats the same dialogue over and over; weak effects, and non-realistic make-up where the actors always look clean as if straight out of a salon. if you want to watch a movie that should have been a television broadcast, this is it...",
junk and waste of money,"I get my supply from few sellers on Amazon and I decided to give this company a try and I was sorry to waste my money on them.I ordered size 4 and size 1Size 4: I noticed that most of the item I was able to fit in size 4 from value mailer, could not fit in size 4 from this seller so I measured that inside and outside and is a little smaller compare to the product from value mailer. SO I had to use size 5 instead of 4 to mail my items. I have same size of items I shipped all the time and I had to use lots of size 5. that cost me some money and waste of envelopes Yellow material is very cheap and tears out easy when trying to pack.Same thing with number 1i do not know how amazon allows these people to sell their stuff when you are not getting what you paid for. I guess amazon do not give a dang as long as they get their commission.Now I ordered all sizes from china and it cost me less than half and great quality. So now I understand why china is taking all the jobs.",
Awesome Praise and Worship!,This is a great praise and worship tape. Great for anyone into serious worship for the Lord! I have enjoyed this one for several years now. I highly recommend it!,
A step down from Dead Girls,"I picked this up after reading Calder's Dead Things trillogy which I enjoyed a great deal for its fetishistic, perverse, and increasingly disjointed world. Frenzetta does create an interesting world which could provide an interesting story but it seems that Calder has lost his pace.One of the major drives in Dead Things was the fetishistic intensity which he sucessfully integrated into the plot. The same intensity is present in this book but the world he created disallows the same integration in to the story. As a result, it comes off as obscessive rather than interesting.I was even more dissapointed by The Twist so while this wasn't as good as I expected, it was still readable. If you're a Calder fan, its worth a read... as long as you find it used.Otherwise Calder needs to give up on the deadly dolly thing until he can make it work again.",
fun,"I liked it. I didn't mind the wobbly camera thing (I barely notice these things any more anyway). The thing that made me annoyed was seeing too much of the monster! The first couple of glimpses of him are enough, but instead we get this kind of idiotic American-movie 'got to see him over and over' and reach the climax we do. I was expecting the tricks to spook me and when they came I failed to get spooked because I had predicted how I would get spooked. Well everyday sort of hack filmaking - but still not a bad effort.",
AWESOME WORK...ONCE AGAIN,"Mr Schweitzer has hit the nail on the head once again! The subject matter is extremely timely and accurate.This book is a must have for any network administrator as well as a small business with stand alone PCs. You never know what your employees are doing with their computers.I found the book extremely helpful and easy to read. It provides the technical guidance without being too over technical. Also, the added free resources that are provided pay for the book.",
"Blame Canada, indeed!","Without fail, I have a BAD DAY every time I am forced to hear Mr. Powter's song.Way to go, Quebec! First you give us Celiene Dion, and now you subject us to this forth rate, Elton John rip-off. What did America ever do to you?Quebec, you should have stoped after giving the world William Shatner, Gravy Fries, and Mario Lemiuex. However, after unleashing Celine Dion and now Daniel Powter on the world, I feel obliged to report Quebec to Kofi Annan and the U.N. for the proliferation of Weapons of Mass Destruction!",
No Commentary,"When I add a DVD to my humble collection, I expect to learn something historical about the making of the film. If you want to see a great commentary which all DVD makers should emulate, it is ''Love is a Many- Splendered Thing' with William Holden & Jennifer Jones.When I turned on my player expecting to learn a bit more about my two heros and discovered no running commentary and the voices out of sync, I was very disappointed.Much aloha,Bill",
"Sleek, elegant and simple","I was looking for a simple Bulova watch with a black face with diamond accents - this was PERFECT. It's great for everyday wear. The watchband fit perfectly; it's very sleek and doesn't catch onto skin or clothing. The domed quartz is taking some getting used to, as light reflects off the surface easily. Shipment was VERY quick. Thank you Amazon for a great deal!!",
good product,"I've had two potentially serious , water leak incidents since aquiring this product .Both were stopped early and fixed thanks tothese alarms . It's cheap and effectiveinsurance . Make a note to change thebatts once a year .",
A Good Read!,"Imagine these scenarios: Your corporate leaders are always ""difficult."" You butt heads with your superiors and even your clients. As a middle manager, you have trouble figuring out what the boss wants. You seem to fight too much with your spouse. If any of these examples are familiar, you need to learn how to tame the ""lions"" in your life. Using analogies from training actual lions in the circus ring, author Steven L. Katz shows you how to work with human lions - people who demand dominance and control - from a bossy supervisor to a stubborn spouse. This is intended to be a textbook for the study of human psychology and interaction. Though you might wish it were a little deeper, the jungle beast analogy keeps it interesting. We recommend it to those who want to learn how to stand their ground in business, politics or modern day culture.",
Good horror music,The Soundtrack is really good. The music reminds you of the horror moments in the movie. A different kinda soundtrack to have in your collection,
Someone TOLD me this is not Scary!,"I must say I was warned,this video is not scary!!It more for small children,so be sure small children watch this because it BORING!!!!",
Poppies A guide to poppies in the wild and in cultivation,"Poppies is a well written and well organized book covering the main subfamilies and genera of the poppy species. Illustrations are included to clarify the in depth descriptions. This book is best suited for someone with a biology/botony background. I would not recomend this book to the casual gardener, as it is more of a college level text, complete with scientific names. The color plate in the middle of the book was a nice addition.",
Have Fun Being Hatted,"Dogs Don't Tell Jokes by Louis Sachar is a funny book about a kid named Gary Boon. Gary is never serious. It isn't untill Gary signes up for a school tallent show, and takes a bet from his parents and can't tell a joke for three weaks that he realizes every one hattes him,and so he has to try to make friends. so if you like funny books read this one.",
Definitely For Adults Only as the by-line suggests,"For a first glimpse into the 'Idol' world of homo-erotica this book could be seen as a must. Although a sequal (to Chains of Deceit) the reader loses nothing from missing the first novel.Although the ending is slightly disappointing the levels and variations on the sexual scenes should more than make up for it.I read the entire novel in one train journey, and bought another from the series for my return.",
Could be better,"There were a few too many stains for my taste, and there was some writing on the inside though for the price it was a great deal.",
Danger Danger Danger Will Roberson!,Been on crutches since 1972.These are without a doubt the worst tips I have ever purchased.I ordered 2 sets.Crutch broke through bottom of the tip on both sets within a few days.When that happens on a tile floor you are on your butt quickly.THESE ARE DANGEROUS!Shame on you for selling this junk.You should be forced to use them...bet you would stop after the first time you fall down.Complete waste of money.ESAD,
love it,This movie is alot of fun. The trompe l'oeil paintings are just incredible. I hope it becomes available soon. I'm still looking to buy it.,
Heavy Load,"I have this system (in a different pattern) because the carseat was highly rated on consumer reports. The carrier is very HEAVY. Way too heavy to carry around with baby in it. The stroller is nice, but I hate that you need two (or more) hands to fold it then it slams into the pavement scratching up the front tray. It too is very heavy and bulky compared to its competitors.",
GREAT MOVIE,We have a grandson that LOVES dinosaurs so this movie is one of his very favorites!Very kid friendly with a good story.,
Pachuco Boogie,"I grew up in East LA and love Latin music from that time. Pachuco Boogie is some of the very best music of that time. I only wish there were more available. If you enjoy music from the 50's, particularly Latin music, you'll love this CD. Every tune on it is excellent. Lalo Guerrero and Don Tosti are fantastic!",
Beautiful,"An absolute delight to look at and touch. When opened, creamy pages lie flat for ease of writing. It opens on the side, not in the middle as the picture might suggest, and has a small magnetic clasp that does not obstruct the artwork. A truly lovely product.",
Vapid & Insipid,"They should have named this movie ""Matrix Wannabe"". This is everything that is bad about Hollywood summer action films. The action sequences were beyond ridiculous. This movie made me want to bang my head against the wall repeatedly. I found this movie only slightly less annoying than cleaning my cat's litterbox. The only good thing I have to say about it is that it is visually entertaining.",
All Systems GO!,"Now here is one of the best CD's I've bought this year and most record buyers will probably never hear of it due to the dismal state of the music biz. Like Groove Armada's new one ""Vertigo,"" ""All Systems Gone"" is a fantastic compilation of compositions and singers. The magnificent Shara Nelson, original vocalist for Massive Attack is BACK! Steve Edwards, vocalist on track #5 takes the cake with a Maxwell-esqe style on the CD's highlight Your Spirit. Amazon should give this glorious CD the boost it needs and feature it somehow. Smooth Grooves!",
Are you Ready ...,"To Be Thunderstruck !!!!!!!!!!Excellent Sound in the remaster. Totally Awesome overall sound, with crystal clear guitar, great drums, and an awesome bass.This Album to be played at VOLUME lads !!!I know the songs for the most part , but got it today with a introduction to some tunes I have never heard before, all brilliant.And this is the Album with AC/DC's great Christmas Song, and what a Christmas wish it is !!!!!!!ENJOY !!!!!!!!",
Like Tom Swift with [intercourse] thrown in,"Weirdly juvenile, sitcom-like 'humor', incoherent plot, conversations, descriptions - I kept thinking, ""Maybe it's some kind of parody,"" but in the end I decided it was just plain bad.",
Snore,BORING! I like the moving better i read the reviews and people love this book. I was so bored i skipped chapters.,
dislike,"My first purchase was the Sengoku or-77 it's easy to operate looks nice but it burns with a kersene odor. I tried adjusting the glo knobe to see if it helps with the odor and it didn't help at all. My second purchase was the Dyna-Glo 23000-btu it's great, no kerosene odor while burning and i use both kerosenes with dye(reddish color) and without dye(clear color). You don't need any additives to help kill the kerosene odor Dyna-Glo 23000-btu is great.",
not her best,"I was disappointed with this book. I'm a fan of Linda Howard, and I loved Mr. Perfect and After the Night. After reading the summary for this book, I expected it to be good, but I found the story slow and the main character boring. I read most of it but stopped 3/4 of the way through it because I just couldn't take it anymore. This is one of the two books by her that I didn't like...everything else is good.",
These sound TERRIBLE,"The sound that comes out of this headset has no bass what so ever, totally tinny. So bad I didn't even try the noise-cancelling ability in a noisy area.",
STUPID CRAP THAT STUPID KIDS WITH NO TASTE LIKE!!!!!!!!!!!,"first off this album and band suck, second off this album and band suck. my friend likes this retarted music but what doesn't make sense is that he likes led zeppelin and metallica. the singer is so bad and generic that I can't stand it. the lyrics are even worse. the drummer is playing any random beats that come to his head. and the bass, wait where is the bass?????? to rap it up, this is crappy generic nu-metal music that sucks and should be outlawed somehow. if you stupid trapt fans heard any iron maiden (who i'm listening to now) you would cry and ask Mommy where all the awsome music is coming from. (i don't care if that last comment didn't make sense)",
GREAT BEDTIME-STORY ENHANCERS!!,"Kids just LOVE them! Nothing makes a bedtime story more interesting than having their stuffed-animal friends participate in them - and give them a goodnight peck in the end.It is never easy teaching our children the facts of life, cause and effect, decisions and consequences, rights and responsibilities. These finger puppets make it just a tad easier.Accurate and durable (not for preschoolers though, they might bite off parts), I am sure you will find them precious too.I have a set of seven (a field mouse, a raccoon, a fox, a timber wolf, an owl, a black bear and a white bear) and I alternate them to keep things interesting. The owl makes only...rare appearances.RECOMMENDED!",
cOOL GAME to pLaY ............!,"THis GAME IS A REAL GD DEAL IT'S GOT AWSOME GRAFICS NOT SO REALISTIC BUT IT DOESN'T HAVE TO BE IT'S GOT COOL MISSIONS IN THIS GAME YOU WILL LEARN TO USE ALL KIND OF WEAPONS PISTOLS,RIFLES ECT ANDYOU GOTTA WACHT OUT 'CAUSE YOU ARE IN CHARGE OF KILLIN' ALL THE ALLIENS AROUND THE ALLIES INVASION HAVE GONE TOO FAR AND ALSO SOME MARINES WILL BE READY TO ATTACK YA AT ANY TIME THERE ARE SOME THAT ARE YOUR ALLIES AND SOME WANT YOU DEAD ...I LOVE TAKIN' SHOTS IN THE HEAD IT'S REALLY COOL ....GOTTA MAKE THIS GAME THE BEST ..",
Time itself was never so convoluted,"This book was one of the worst I have ever read in my life. It's lack of coherent structure and awkward style unnecessarily complicate and frustrate a potentially profound and already-difficult topic.No matter, however, for in the end, there is no real conclusion that is arrived at anyway: the roundabout path has led nowhere and Time stands nonplussed.",
